Date,Open,High,Low,Close,Adj Close,Volume
2021-02-18,27.920000,28.500000,27.809999,27.910000,27.735983,49322800
2021-02-19,27.889999,28.200001,27.340000,27.620001,27.447790,26924200
2021-02-22,26.549999,26.610001,25.530001,25.610001,25.450323,86487800
2021-02-23,25.910000,27.430000,25.850000,27.250000,27.080099,76464200
2021-02-24,27.430000,27.520000,26.610001,26.850000,26.682592,35645700
2021-02-25,26.900000,27.059999,25.980000,26.010000,25.847828,40973600
2021-02-26,26.200001,26.389999,25.510000,25.549999,25.534998,48297700
2021-03-01,25.900000,25.969999,24.770000,24.770000,24.770000,45127500
2021-03-02,24.330000,26.320000,23.920000,25.770000,25.770000,66482700
2021-03-03,25.770000,26.290001,24.820000,25.830000,25.830000,61550400
2021-03-04,26.020000,27.100000,25.930000,26.639999,26.639999,65736300
2021-03-05,26.730000,27.820000,26.520000,27.629999,27.629999,77661000
2021-03-08,26.900000,27.980000,26.559999,26.750000,26.750000,57142300
2021-03-09,26.620001,27.559999,26.350000,27.120001,27.120001,37490800
